Branch,Buggy Commit,Fixed Commit,Failing Test Cases,"Maven Java Compiler (pom.xml)",srcjavafolder,srctestfolder,binjavafolder,bintestfolder
Bug1,8115b6c08af5baa9c5bfd701e0ce3852b51beb69,1cbd2217dfaf8c973f2c3a0c5becf59cc15cd32c,org.apache.commons.lang3.builder.ToStringBuilderTest:org.apache.commons.lang3.reflect.MethodUtilsTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug2,9282f72a78f30158babe33b440a674318f362377,eae4f07ea690db3a179e620561ac89aea5de8bcd,com.github.davidmoten.rx.jdbc.DatabaseViaDataSourceTest:com.github.davidmoten.rx.jdbc.DatabaseAsyncTest:com.github.davidmoten.rx.jdbc.DatabaseExampleTest:com.github.davidmoten.rx.jdbc.DatabaseSyncTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug3,47a46bee88e2b0385d7400465a43476b426a20cc,00982b76564cfdfa5c26ddee7b850cf322f4c222,com.github.davidmoten.rx.jdbc.DatabaseExampleTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug4,b4f3b5353e5a78b0272769014706c6ef492b191c,d030563b8e4193dc50d148c6e4652309f564558f,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.implementation.FixedValueTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.dynamic.loading.ClassInjectorUsingReflectionTest:net.bytebuddy.implementation.InvocationHandlerAdapterTest:net.bytebuddy.implementation.MethodDelegationOriginTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug5,e459ef2f7cb69b57b9f0916184c3a64654165a46,945566d55b0cf6486092dd48145a589faa97358e,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.implementation.InvocationHandlerAdapterTest:net.bytebuddy.implementation.MethodDelegationOriginTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug6,0cd7fd86255127b484d3282db58ea5c727b19d78,c4c432ed0c76ad2eb64421e1830e180d50e29fb5,net.bytebuddy.description.modifier.ModifierContributorTest:net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug7,49062e65f19f56161fc32a9b8698615eb2f7ece4,2e944bc57c50727fa910593b17f939b84933d930,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.implementation.bytecode.member.MethodInvocationOtherTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionSuperClassLoadingTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug8,371a5d281485b21aa89ed9522770b8a5c5bab591,1952f0759ab9695d87b2e2d4fc6017caf4d4b63c,net.bytebuddy.agent.builder.AgentBuilderDescriptionStrategyTest:net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionSuperClassLoadingTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug9,628c1aaf0c6470eb622a115abb0192e162054ef8,702b5a12e07b0e57294f49a2f8c5fa22bb59d9d3,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.dynamic.ClassFileLocatorForClassLoaderTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug10,42f0099acdbd26fb2f3da0717f410140f8f88ec9,a974628cb92e629d73da73edda28696c4c62e162,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeWithEagerPropertiesTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug11,639e3a8605b02d5c4e25541004021e56af093850,3f94f538f2a98241a662ed07c48ecd2b9baef983,com.tagtraum.perf.gcviewer.view.model.TestRecentGCResourcesModel,,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug12,8b680104dcd93c21d7a70417e09e6e7c19be7725,4c805df4c760737816c40734aabfd6c74a99c1d2,,,,,,
Bug13,20326389de1f5d579049d55d5f185d998748339b,5ed04220e6625fb93cf1c87b07264f67ad57c3d2,,,,,,
Bug14,d9b7d3df4e8cf6477b1f0603febb8f100d1bcdb0,3dc12ca3cc7c260fc10d12e37597b71e3b6e27a7,,,,,,
Bug15,66c7a0a06983e9386d8b1fe3958a9cac33700b4d,5a64157e9a4cd5043f4f18ac23971ff5e1ab287c,,,,,,
Bug16,5132f6f637ab6a64732bb59968eb22f9b0b25337,43739eb6a42cedfdb4e180a3178cf9b211d34b29,,,,,,
Bug17,34e568f8cbaf52c869e5573d51850cf5cc462eba,ea84471b57d177b125b28abe9231c6634bd8886d,,,,,,
Bug18,3c4f3accf2a1deae2a1941be58ec2afd72eb9d68,18db87b37f597f53a7ab3b1ce0c38c2841f461b5,,,,,,
Bug19,b2b7bf1bc3f0eaa0a2bf028e3855721c9f11bce7,9e656161b3a4e7c5e2aab1169034ac12c7b2426c,,,,,,
Bug20,dff91784e0a5a34b609fa57c519c3c1f9f6908cd,8ae9effc832d010d2fb283e14152e2bb9238fdd6,,,,,,
Bug21,cbc6b4612bd41bdda94eca7016093dcf9b6eb30b,9a58ee121b7a4620ca133e36b5d85f95f6fbbeee,,,,,,
Bug22,3b33402132ba4bad1b0c5cdb36de3f7c9496052a,14783ceeae4e878d5adfd7e58aefe34010a3b0d6,,,,,,
Bug23,a94dfc92da1175cc385c429577ce67f1e22e3e85,4c0458750be598d4dbf6216637c9e042c49250f1,,,,,,
Bug24,9c7bf5da61c6ffb8a5628941fa575dec08abf168,873a26733ec90c4e5042beeacd5b3730fca1d26c,,,,,,
Bug25,aa876cdcc384b5f4284b31b2aa186b48332414a2,17ad7de6683501b197a4805ba9c6c15a030579b7,,,,,,
Bug26,eacaf551bc56247cabd62e70e5cb88ce8a1672d0,f8eaafa508c9d3fe64cb994cd9f62f6ff495b8d1,,,,,,
Bug27,4eb9f11dd66018195840bd0ee83cdb4039d7c1e4,a14c854fa3e93c44fe86bc1333d58efde179c41f,,,,,,
Bug28,616749938d535c937902795b1a0e2b77f4c3f33b,019bf7951c2a54f195ed94981dd442172bdf3066,,,,,,
Bug29,93e23af993a4a3c828e10caf59863a396a4faf1a,08cf6a429a952778ae6fe6757018de97a1f79f11,,,,,,
Bug30,a8f97887cc298a4e96d9c73939c1922806f6d5a5,d895c34b242008ebcd06421adc2859bb1be02156,,,,,,
Bug31,7027e58abd54d101139206702f18301cf3ac868b,407f6eaa237c6559835e385a19e0919cbabdf89b,,,,,,
Bug32,b6adac71415378c52dc45ef8a14dd83d62f0dc87,beafcb6284570aca4e65df7be4f9b501602acde0,,,,,,
Bug33,598a1bafb855420fe9fd1a08ad190f5eec5e3da7,6577a875f466cb6d774b00f2b29cd31f62728ba2,,,,,,
Bug34,aa416245b2cd321810bbf758296dc42c103d0e15,ac5cc57701edfe7254b7f057cfcd247f47c7d0c6,,,,,,
Bug35,94f0496f5467e8fd6ec53544985aff34cb3b238f,19e3bdd1ac61fbfa43cd7dbe4cab00039c6ce38d,,,,,,
Bug36,59192f710f4a196c1b2efb02e697b8834e8cbc1e,d6b117733c2dcd689200107ea45a28cd4e61991a,,,,,,
Bug37,47ffd66423088cdda1179d2bd9cfefaeeb354d55,b9a530a2a9b4cc200bc2b88d456c116d1c7be8de,,,,,,
Bug38,a167e2563225cdaae8df21969bc8fe557755a709,5fa71a679957f00bc3e68ed6d0a538e903f947b4,,,,,,
Bug39,6d374233e6c581c55050b72c10972a84e1f9a5ba,bbccfcaaffff46d3688cc380e773d533dad91daa,,,,,,
Bug40,ac61f537fc6b3f83ba2e3fa524ef83463c942a62,6a46ee14d4b57e823eac2f770f600573fff3ed40,,,,,,
Bug41,cd8154ed6014f9a0871e796017d37a3312339634,4e1c9b2fec631be9b333b018eb85eb5472c8080a,,,,,,
Bug42,6bd9b9dc96e18a8f16e472dfe3d1ddf0752dea17,4d007ea432730dcaa9c0a4c552e33c56ff71d21a,,,,,,
Bug43,1d85a8cc69c23199d1fa7ba6b7ea6cf5e80a8e3f,eee10b70250cb76a336b14f9ae13ab62546137c0,,,,,,
Bug44,fa3fd72a073632b29f39b0d8e9b5b4093b597659,abe97726a7624730056ebdbc647d4f8dd0829eca,,,,,,
Bug45,a0bf4ff07c8b53be04cc7425baf3774366cd94ac,d7a4768b50e72e61842ef7be4fda163963debcad,,,,,,
Bug46,6769214334a35efa8c0fa736c6d95ad87f34f59e,fa1f373b7a6025519567ccc84a930a73ca179936,,,,,,
Bug47,7a8b7f3a9d4c94eb5c3ca595f32dd76f924fd1a1,335444b6c879ed440b5fa1884f6d875969546c82,,,,,,
Bug48,60af456037eefbb0719b811a1ed8250418abce22,02d759b58fd9167b78bf4b1b05e24462a8a82e3f,,,,,,
Bug49,6d3fb4cf45b6cab43d77c081fa7ec6eb3df6a58f,5882691415f609d1e601eb7807aabe70a99575c4,,,,,,
Bug50,a54bd416a7e6b34f7cfbac688c34f03555b31a5d,9cd3a7ca12059efbf1a3fbec9e3763b638a9c59a,,,,,,
Bug51,387381069c597415e4bd3578d5f2a124473c84c2,f8eeef5a7bf758924b89607086e3dc3962f7ebbe,,,,,,
Bug52,2436e4f15315104c2dea5393d7d06420df9b8010,f6aee81c053bde32e9c9e857fba8b7ea56738c77,,,,,,
Bug53,2674181e93896bdc1dc08212734705fec50ce48e,14ca39db09dab608f64723abdb7cbd5c8f8b05f5,,,,,,
Bug54,9b56ef7a2ad22b655af53783bb52a25b62d3881a,d950ef575cc60c10aa5b83840ebc23c293ecb458,,,,,,
Bug55,93089d6378b507f635c05d65de637eaaaa39fdc5,198711a2b5508096479abebbabef3632c69376e6,,,,,,
Bug56,22213dee677159cf34f433975e7aca831d9cfe1b,afa47938fb32aa842fe0acedaa368708b76b959d,,,,,,
Bug57,30681fc40e1e1c0a6f8ecceedc0410cd7907449c,7e33d7819c7345f85a5e1b27097d667445e8a719,,,,,,
Bug58,9036e1a04c347cc836c622defe18e7741325f606,b001e8ea0bf4059008afe253787ce2cbde10f210,,,,,,
Bug59,75804ab7d7094bac1f1faf85d78c9d972985f6be,57fe9fdac9a2535cddd2937862bf6d2a7bc2b059,,,,,,
Bug60,79b069a694b8d18d5d410deac3811ada76a632e2,42ebe4ce8879fc3cb1f86cf9b9284abd8ad85c94,,,,,,
Bug61,9e49e8c4d7f76a97659459253b4633a611849d1d,2aa11c400c8b7cfb654f5a8b971026b1363bafa7,,,,,,
Bug62,d6d3bea04d40adac6d21219bafefacde13cb44f1,2b51c9cd06d69714e8a9f4224713739cad4098dd,,,,,,
Bug63,cd18b332704f4f36dd7197793f4df1f4c4876119,0c81aff2cde8c29ab7fde4b0d487ab7e5d54e4cd,,,,,,
Bug64,5e7ecd8faf12723b587c4e0e06816697264ae4cd,c0c67894f59a15dfa44dff52da61265a9740a767,,,,,,
Bug65,d84e682bcbf785366e0147e0604d7a759d7ac1f4,a8170b502ea7dbc58f97506dfae18e8e2701f125,,,,,,
Bug66,4d671b20fc7995f4b79178fc01bbba07713d244b,f408ec9e059433415b4383da525861fd5ffc318f,,,,,,
Bug67,966fc19d551c8758ad1845f0c56e691d1cd3176d,f8e6cf6798990ff19c80c3323215003b4856a3bf,,,,,,
Bug68,d973d5f6160997f70a55639833a4ab7c786170f1,b45adb6da5029be3f99e7b50a3b37db18f235fd8,,,,,,
Bug69,d79f19b539f80f09e55917c99ab4bd7763e82b75,a178d58bcc6eebcdf48506e40df665b13958a991,,,,,,
Bug70,020128f1f1b94aec25acf7b4b18beec03c6dd274,34427fca606f02621555225e83423a5f404e0456,,,,,,
Bug71,8dabe49b6c6bcdd94a61c37c1273b0eef600ed71,7e836f834fb32d2281f05d26c725f6aa55f4acbb,,,,,,
Bug72,6fe27e6c1a47a3f7bb1160899c1465c3dfc46415,adb633bedce9c8e3f1648adc447644e18d6b9098,,,,,,
Bug73,e46745b198cf11e9ef3fdd7e54130e96da47a3ef,1e86787727506380489305795209c2b3cb4cddb9,,,,,,
Bug74,b5e0dff3ff84bb28c5b5cf32d693ec91f73c50bb,4a354ac90cc153d99b45ed1cfbe501935b2132e8,,,,,,
Bug75,40f281c810fec6e9e3862f0e7d301a362d35653e,bafb7f2db7b3e59ed1f0ac6a5ac7724721c0c7fb,,,,,,
Bug76,f35e15d759d99a9441574bb34ac973d10c0e0413,1dedebed173631fed727307570c5640dd3ae3c48,,,,,,
Bug77,23eb0f340357fb2ca6d3f03a112fdc58847d5d82,375ecfc80d589cdd7e0b69c89effde9455bbfbb9,,,,,,
Bug78,b249ad8797fd5e1c111fe164d9474d4c4f6b09ff,2f666000a47865e3399549d9cfe806029b5d05bb,,,,,,
Bug79,d7ada5d038efb826c31bc300ba9d902a35f4e2a4,00752b384e6a3ce5a42a44f9bf55cc772b7f07f9,,,,,,
Bug80,3d542f6427acec9b8acd46dbb923904feb9abd24,00fcfc256b07a54016746db1943b89314f781429,,,,,,
Bug81,099e059d706ac80c23b8950a8b8993e1451cf1aa,abf772a6c1e795290f6761eb2f9ae4be5053a916,,,,,,
Bug82,0b804d0f73b4568280884f83ed4942b60f0d3a50,8b307d7e5240ad18a78f1b4664ea439b69c08f6d,,,,,,
Bug83,ecf7a2200d3737d1b2ff33873c2b56c48c761fa2,6f4097c25f442de7a582b866985056d3820dded1,,,,,,
Bug84,db256d671b8f94df1b9220c32a9d093076c8c846,5055b9e5ebea54b517df650c258571b6ec1aae84,,,,,,
Bug85,28af814325d2f04ad74f2826d14ff8f06e6e934b,be8e6375ca729691eef7d2f5ba677381041839f6,,,,,,
Bug86,8c3bc2d8d2dadcba71c52b2e48fe5b5940bf0a93,f6e136983e1a1e68bbddef898f9a89573806804f,,,,,,
Bug87,af1d094ea4d585de48182bd10c7f8c07329c9dc4,ab8ad4062d21b647346e5a3bbd932de3085030fd,,,,,,
Bug88,5be3e73da925b95f0fec74f72a642837d280bbbb,e2785fdf2cd261261b4745b461f280ef04b77011,,,,,,
Bug89,7052191c5989abcea0af126e57716e8f45f9d056,cd946e0e09ec662cf643c712fbee1a682f21a3c8,,,,,,
Bug90,d654ff90b00849ca6e52e99dbf45bea42d0fcfb5,1deb8754554a44d84fa44a56b7045421fc08ae72,,,,,,
Bug91,3c39c2f9cf92e746d7d0b02e65105c5871c61066,bf16c4b1fe3ae26f969f92230674e2e949e2f3be,,,,,,
Bug92,a4bab0d311b65fd22f099630395cbc866fb431ca,d74125bdc2249124bcda11f80ba125db0372abbf,,,,,,
Bug93,14f58ebc3f29373e3c3216f40a50f9fb2435dcf4,1aea48d1a3c0dfc8d772da0b4d638d050706fe61,,,,,,
Bug94,9c2059c25a81b61bbdf0957b5bc9d620a986a61a,a1209356def212c12714a1b62e599752984f4d13,,,,,,
Bug95,7d0078c7bb8483d3ef84da96b32951efb0a0c72a,e7d46f7af60e027336c5d8e4e47d8a26a61bbf76,,,,,,
Bug96,e7e0ed5dd9da397a29110090ba3a3937b6751e6d,13e2c289b85d2767b1905c50d9c944d049427ec0,,,,,,
Bug97,5398994a9989c2ae2d581326ee4f69f042218a34,d79696dab6b820e9ec1819f5c636c6aa85fd9576,,,,,,
Bug98,075d72a6df7cde22cc7181f0a575c82c04f2629d,8d1e72bfdba1017999c42b99f2e1145c4ff8bc76,,,,,,
Bug99,5ae9ac45f5fa811692db42ad1e80f9d84ba297a1,62ce510d70fe0c1d2df3fe81aa4e8be491d4a45d,,,,,,
Bug100,8641992fa9a305fa311b2346389fbb2f1b14cce6,ba2677066064a33655863a45eae4321a02c55a38,,,,,,
Bug101,eddb6f4247af31fba40c0f9ded2478c85bc7119f,628c762c1fc2f81386c611772bef23a554239e2a,,,,,,
Bug102,c44f78c0e8b34a2bd566b791b5b4c1da7882c129,11bdbbdb56edb7ed4df3b51029eafb7195465cf6,,,,,,
Bug103,05d97cc22e38f806b47ad50af015dd94bdb71d1e,ae5551c08557c38570fb790aee7fd035f9d1b740,,,,,,
Bug104,602ad78eb5a476b286bb8bf55eae54b13931c331,48287aaa222b3ead49729657aacd2b964eac0960,,,,,,
Bug105,75c8eb0d4e9a8c6fce0ac1bf5126710da7dd53fd,42c510e542a65e06157149e8f9fdafa7e6ae5c6f,,,,,,
Bug106,9c1e0aaafe3160096e2563600fb0a4e445044efc,3d9f88e1a85ba381afd16cb276553ef775de63fc,,,,,,
Bug107,208b2a698baa202bd00edae1316613000310d7e1,e4c1c169e32723d0d33c98f79d199c64d29af42c,,,,,,

